iter,train_mse
0,5031.47
1,5015.86
2,5001.17
3,4987.32
4,4974.25
5,4961.91
6,4950.25
7,4939.21
8,4928.76
9,4918.86
10,4909.46
11,4900.54
12,4892.07
13,4884.02
14,4876.36
15,4869.06
16,4862.12
17,4855.5
18,4849.19
19,4843.16
20,4837.41
21,4831.92
22,4826.68
23,4821.66
24,4816.86
25,4812.28
26,4807.88
27,4803.68
28,4799.65
29,4795.79
30,4792.09
31,4788.55
32,4785.15
33,4781.88
34,4778.75
35,4775.75
36,4772.87
37,4770.1
38,4767.44
39,4764.88
40,4762.42
41,4760.06
42,4757.79
43,4755.61
44,4753.51
45,4751.49
46,4749.55
47,4747.68
48,4745.88
49,4744.15
50,4742.49
51,4740.88
52,4739.33
53,4737.84
54,4736.41
55,4735.03
56,4733.7
57,4732.41
58,4731.17
59,4729.98
60,4728.83
61,4727.72
62,4726.65
63,4725.62
64,4724.62
65,4723.66
66,4722.73
67,4721.83
68,4720.97
69,4720.14
70,4719.33
71,4718.55
72,4717.8
73,4717.07
74,4716.37
75,4715.69
76,4715.04
77,4714.4
78,4713.79
79,4713.2
80,4712.62
81,4712.07
82,4711.54
83,4711.02
84,4710.52
85,4710.03
86,4709.56
87,4709.11
88,4708.67
89,4708.24
90,4707.83
91,4707.43
92,4707.04
93,4706.67
94,4706.3
95,4705.95
96,4705.61
97,4705.28
98,4704.96
99,4704.65
100,4704.35
101,4704.06
102,4703.77
103,4703.5
104,4703.23
105,4702.97
106,4702.72
107,4702.48
108,4702.24
109,4702.01
110,4701.79
111,4701.57
112,4701.36
113,4701.16
114,4700.96
115,4700.76
116,4700.58
117,4700.39
118,4700.22
119,4700.04
120,4699.88
121,4699.71
122,4699.56
123,4699.4
124,4699.25
125,4699.1
126,4698.96
127,4698.82
128,4698.69
129,4698.56
130,4698.43
131,4698.31
132,4698.18
133,4698.07
134,4697.95
135,4697.84
136,4697.73
137,4697.62
138,4697.52
139,4697.42
140,4697.32
141,4697.22
142,4697.13
143,4697.04
144,4696.95
145,4696.86
146,4696.78
147,4696.69
148,4696.61
149,4696.53
150,4696.45
151,4696.38
152,4696.3
153,4696.23
154,4696.16
155,4696.09
156,4696.03
157,4695.96
158,4695.9
159,4695.83
160,4695.77
161,4695.71
162,4695.65
163,4695.6
164,4695.54
165,4695.48
166,4695.43
167,4695.38
168,4695.33
169,4695.28
170,4695.23
171,4695.18
172,4695.13
173,4695.08
174,4695.04
175,4694.99
176,4694.95
177,4694.91
178,4694.87
179,4694.82
180,4694.78
181,4694.75
182,4694.71
183,4694.67
184,4694.63
185,4694.6
186,4694.56
187,4694.52
188,4694.49
189,4694.46
190,4694.42
191,4694.39
192,4694.36
193,4694.33
194,4694.3
195,4694.27
196,4694.24
197,4694.21
198,4694.18
199,4694.15
200,4694.13
201,4694.1
202,4694.07
203,4694.05
204,4694.02
205,4694
206,4693.97
207,4693.95
208,4693.92
209,4693.9
210,4693.88
211,4693.86
212,4693.83
213,4693.81
214,4693.79
215,4693.77
216,4693.75
217,4693.73
218,4693.71
219,4693.69
220,4693.67
221,4693.65
222,4693.63
223,4693.61
224,4693.6
225,4693.58
226,4693.56
227,4693.54
228,4693.53
229,4693.51
230,4693.49
231,4693.48
232,4693.46
233,4693.45
234,4693.43
235,4693.41
236,4693.4
237,4693.39
238,4693.37
239,4693.36
240,4693.34
241,4693.33
242,4693.32
243,4693.3
244,4693.29
245,4693.28
246,4693.26
247,4693.25
248,4693.24
249,4693.23
250,4693.21
251,4693.2
252,4693.19
253,4693.18
254,4693.17
255,4693.16
256,4693.15
257,4693.14
258,4693.13
259,4693.11
260,4693.1
261,4693.09
262,4693.08
263,4693.07
264,4693.06
265,4693.06
266,4693.05
267,4693.04
268,4693.03
269,4693.02
270,4693.01
271,4693
272,4692.99
273,4692.98
274,4692.97
275,4692.97
276,4692.96
277,4692.95
278,4692.94
279,4692.93
280,4692.93
281,4692.92
282,4692.91
283,4692.9
284,4692.9
285,4692.89
286,4692.88
287,4692.88
288,4692.87
289,4692.86
290,4692.86
291,4692.85
292,4692.84
293,4692.84
294,4692.83
295,4692.82
296,4692.82
297,4692.81
298,4692.8
299,4692.8
300,4692.79
301,4692.79
302,4692.78
303,4692.78
304,4692.77
305,4692.76
306,4692.76
307,4692.75
308,4692.75
309,4692.74
310,4692.74
311,4692.73
312,4692.73
313,4692.72
314,4692.72
315,4692.71
316,4692.71
317,4692.7
318,4692.7
319,4692.7
320,4692.69
321,4692.69
322,4692.68
323,4692.68
324,4692.67
325,4692.67
326,4692.66
327,4692.66
328,4692.66
329,4692.65
330,4692.65
331,4692.64
332,4692.64
333,4692.64
334,4692.63
335,4692.63
336,4692.63
337,4692.62
338,4692.62
339,4692.62
340,4692.61
341,4692.61
342,4692.61
343,4692.6
344,4692.6
345,4692.6
346,4692.59
347,4692.59
348,4692.59
349,4692.58
350,4692.58
351,4692.58
352,4692.57
353,4692.57
354,4692.57
355,4692.57
356,4692.56
357,4692.56
358,4692.56
359,4692.55
360,4692.55
361,4692.55
362,4692.55
363,4692.54
364,4692.54
365,4692.54
366,4692.54
367,4692.53
368,4692.53
369,4692.53
370,4692.53
371,4692.52
372,4692.52
373,4692.52
374,4692.52
375,4692.51
376,4692.51
377,4692.51
378,4692.51
379,4692.51
380,4692.5
381,4692.5
382,4692.5
383,4692.5
384,4692.5
385,4692.49
386,4692.49
387,4692.49
388,4692.49
389,4692.49
390,4692.48
391,4692.48
392,4692.48
393,4692.48
394,4692.48
395,4692.48
396,4692.47
397,4692.47
398,4692.47
399,4692.47
400,4692.47
401,4692.47
402,4692.46
403,4692.46
404,4692.46
405,4692.46
406,4692.46
407,4692.46
408,4692.45
409,4692.45
410,4692.45
411,4692.45
412,4692.45
413,4692.45
414,4692.45
415,4692.45
416,4692.44
417,4692.44
418,4692.44
419,4692.44
420,4692.44
421,4692.44
422,4692.44
423,4692.43
424,4692.43
425,4692.43
426,4692.43
427,4692.43
428,4692.43
429,4692.43
430,4692.43
431,4692.43
432,4692.42
433,4692.42
434,4692.42
435,4692.42
436,4692.42
437,4692.42
438,4692.42
439,4692.42
440,4692.42
441,4692.41
442,4692.41
443,4692.41
444,4692.41
445,4692.41
446,4692.41
447,4692.41
448,4692.41
449,4692.41
450,4692.41
451,4692.41
452,4692.4
453,4692.4
454,4692.4
455,4692.4
456,4692.4
457,4692.4
458,4692.4
459,4692.4
460,4692.4
461,4692.4
462,4692.4
463,4692.4
464,4692.4
465,4692.39
466,4692.39
467,4692.39
468,4692.39
469,4692.39
470,4692.39
471,4692.39
472,4692.39
473,4692.39
474,4692.39
475,4692.39
476,4692.39
477,4692.39
478,4692.39
479,4692.38
480,4692.38
481,4692.38
482,4692.38
483,4692.38
484,4692.38
485,4692.38
486,4692.38
487,4692.38
488,4692.38
489,4692.38
490,4692.38
491,4692.38
492,4692.38
493,4692.38
494,4692.38
495,4692.38
496,4692.38
497,4692.37
498,4692.37
499,4692.37
500,4692.37
501,4692.37
502,4692.37
503,4692.37
504,4692.37
505,4692.37
506,4692.37
507,4692.37
508,4692.37
509,4692.37
510,4692.37
511,4692.37
512,4692.37
513,4692.37
514,4692.37
515,4692.37
516,4692.37
517,4692.37
518,4692.37
519,4692.36
520,4692.36
521,4692.36
522,4692.36
523,4692.36
524,4692.36
525,4692.36
526,4692.36
527,4692.36
528,4692.36
529,4692.36
530,4692.36
531,4692.36
532,4692.36
533,4692.36
534,4692.36
535,4692.36
536,4692.36
537,4692.36
538,4692.36
539,4692.36
540,4692.36
541,4692.36
542,4692.36
543,4692.36
544,4692.36
545,4692.36
546,4692.36
547,4692.36
548,4692.36
549,4692.35
550,4692.35
551,4692.35
552,4692.35
553,4692.35
554,4692.35
555,4692.35
556,4692.35
557,4692.35
558,4692.35
559,4692.35
560,4692.35
561,4692.35
562,4692.35
563,4692.35
564,4692.35
565,4692.35
566,4692.35
567,4692.35
568,4692.35
569,4692.35
570,4692.35
571,4692.35
572,4692.35
573,4692.35
574,4692.35
575,4692.35
576,4692.35
577,4692.35
578,4692.35
579,4692.35
580,4692.35
581,4692.35
582,4692.35
583,4692.35
584,4692.35
585,4692.35
586,4692.35
587,4692.35
588,4692.35
589,4692.35
590,4692.35
591,4692.35
592,4692.35
593,4692.35
594,4692.35
595,4692.35
596,4692.35
597,4692.34
598,4692.34
599,4692.34
600,4692.34
601,4692.34
602,4692.34
603,4692.34
604,4692.34
605,4692.34
606,4692.34
607,4692.34
608,4692.34
609,4692.34
610,4692.34
611,4692.34
612,4692.34
613,4692.34
614,4692.34
615,4692.34
616,4692.34
617,4692.34
618,4692.34
619,4692.34
620,4692.34
621,4692.34
622,4692.34
623,4692.34
624,4692.34
625,4692.34
626,4692.34
627,4692.34
628,4692.34
629,4692.34
630,4692.34
631,4692.34
632,4692.34
633,4692.34
634,4692.34
635,4692.34
636,4692.34
637,4692.34
638,4692.34
639,4692.34
640,4692.34
641,4692.34
642,4692.34
643,4692.34
644,4692.34
645,4692.34
646,4692.34
647,4692.34
648,4692.34
649,4692.34
650,4692.34
651,4692.34
652,4692.34
653,4692.34
654,4692.34
655,4692.34
656,4692.34
657,4692.34
658,4692.34
659,4692.34
660,4692.34
661,4692.34
662,4692.34
663,4692.34
664,4692.34
665,4692.34
666,4692.34
667,4692.34
668,4692.34
669,4692.34
670,4692.34
671,4692.34
672,4692.34
673,4692.34
674,4692.34
675,4692.34
676,4692.34
677,4692.34
678,4692.34
679,4692.34
680,4692.34
681,4692.34
682,4692.34
683,4692.34
684,4692.34
685,4692.34
686,4692.34
687,4692.34
688,4692.34
689,4692.34
690,4692.34
691,4692.34
692,4692.34
693,4692.34
694,4692.34
695,4692.34
696,4692.34
697,4692.34
698,4692.34
699,4692.34
700,4692.34
701,4692.34
702,4692.34
703,4692.34
704,4692.34
705,4692.34
706,4692.34
707,4692.34
708,4692.34
709,4692.34
710,4692.34
711,4692.34
712,4692.33
713,4692.33
714,4692.33
715,4692.33
716,4692.33
717,4692.33
718,4692.33
719,4692.33
720,4692.33
721,4692.33
722,4692.33
723,4692.33
724,4692.33
725,4692.33
726,4692.33
727,4692.33
728,4692.33
729,4692.33
730,4692.33
731,4692.33
732,4692.33
733,4692.33
734,4692.33
735,4692.33
736,4692.33
737,4692.33
738,4692.33
739,4692.33
740,4692.33
741,4692.33
742,4692.33
743,4692.33
744,4692.33
745,4692.33
746,4692.33
747,4692.33
748,4692.33
749,4692.33
750,4692.33
751,4692.33
752,4692.33
753,4692.33
754,4692.33
755,4692.33
756,4692.33
757,4692.33
758,4692.33
759,4692.33
760,4692.33
761,4692.33
762,4692.33
763,4692.33
764,4692.33
765,4692.33
766,4692.33
767,4692.33
768,4692.33
769,4692.33
770,4692.33
771,4692.33
772,4692.33
773,4692.33
774,4692.33
775,4692.33
776,4692.33
777,4692.33
778,4692.33
779,4692.33
780,4692.33
781,4692.33
782,4692.33
783,4692.33
784,4692.33
785,4692.33
786,4692.33
787,4692.33
788,4692.33
789,4692.33
790,4692.33
791,4692.33
792,4692.33
793,4692.33
794,4692.33
795,4692.33
796,4692.33
797,4692.33
798,4692.33
799,4692.33
800,4692.33
801,4692.33
802,4692.33
803,4692.33
804,4692.33
805,4692.33
806,4692.33
807,4692.33
808,4692.33
809,4692.33
810,4692.33
811,4692.33
812,4692.33
813,4692.33
814,4692.33
815,4692.33
816,4692.33
817,4692.33
818,4692.33
819,4692.33
820,4692.33
821,4692.33
822,4692.33
823,4692.33
824,4692.33
825,4692.33
826,4692.33
827,4692.33
828,4692.33
829,4692.33
830,4692.33
831,4692.33
832,4692.33
833,4692.33
834,4692.33
835,4692.33
836,4692.33
837,4692.33
838,4692.33
839,4692.33
840,4692.33
841,4692.33
842,4692.33
843,4692.33
844,4692.33
845,4692.33
846,4692.33
847,4692.33
848,4692.33
849,4692.33
850,4692.33
851,4692.33
852,4692.33
853,4692.33
854,4692.33
855,4692.33
856,4692.33
857,4692.33
858,4692.33
859,4692.33
860,4692.33
861,4692.33
862,4692.33
863,4692.33
864,4692.33
865,4692.33
866,4692.33
867,4692.33
868,4692.33
869,4692.33
870,4692.33
871,4692.33
872,4692.33
873,4692.33
874,4692.33
875,4692.33
876,4692.33
877,4692.33
878,4692.33
879,4692.33
880,4692.33
881,4692.33
882,4692.33
883,4692.33
884,4692.33
885,4692.33
886,4692.33
887,4692.33
888,4692.33
889,4692.33
890,4692.33
891,4692.33
892,4692.33
893,4692.33
894,4692.33
895,4692.33
896,4692.33
897,4692.33
898,4692.33
899,4692.33
900,4692.33
901,4692.33
902,4692.33
903,4692.33
904,4692.33
905,4692.33
906,4692.33
907,4692.33
908,4692.33
909,4692.33
910,4692.33
911,4692.33
912,4692.33
913,4692.33
914,4692.33
915,4692.33
916,4692.33
917,4692.33
918,4692.33
919,4692.33
920,4692.33
921,4692.33
922,4692.33
923,4692.33
924,4692.33
925,4692.33
926,4692.33
927,4692.33
928,4692.33
929,4692.33
930,4692.33
931,4692.33
932,4692.33
933,4692.33
934,4692.33
935,4692.33
936,4692.33
937,4692.33
938,4692.33
939,4692.33
940,4692.33
941,4692.33
942,4692.33
943,4692.33
944,4692.33
945,4692.33
946,4692.33
947,4692.33
948,4692.33
949,4692.33
950,4692.33
951,4692.33
952,4692.33
953,4692.33
954,4692.33
955,4692.33
956,4692.33
957,4692.33
958,4692.33
959,4692.33
960,4692.33
961,4692.33
962,4692.33
963,4692.33
964,4692.33
965,4692.33
966,4692.33
967,4692.33
968,4692.33
969,4692.33
970,4692.33
971,4692.33
972,4692.33
973,4692.33
974,4692.33
975,4692.33
976,4692.33
977,4692.33
978,4692.33
979,4692.33
980,4692.33
981,4692.33
982,4692.33
983,4692.33
984,4692.33
985,4692.33
986,4692.33
987,4692.33
988,4692.33
989,4692.33
990,4692.33
991,4692.33
992,4692.33
993,4692.33
994,4692.33
995,4692.33
996,4692.33
997,4692.33
998,4692.33
999,4692.33
1000,4692.33
1001,4692.33
1002,4692.33
1003,4692.33
1004,4692.33
1005,4692.33
1006,4692.33
1007,4692.33
1008,4692.33
1009,4692.33
1010,4692.33
1011,4692.33
1012,4692.33
1013,4692.33
1014,4692.33
1015,4692.33
1016,4692.33
1017,4692.33
1018,4692.33
1019,4692.33
1020,4692.33
1021,4692.33
1022,4692.33
1023,4692.33
1024,4692.33
1025,4692.33
1026,4692.33
1027,4692.33
1028,4692.33
1029,4692.33
1030,4692.33
1031,4692.33
1032,4692.33
1033,4692.33
1034,4692.33
1035,4692.33
1036,4692.33
1037,4692.33
1038,4692.33
1039,4692.33
1040,4692.33
1041,4692.33
1042,4692.33
1043,4692.33
1044,4692.33
1045,4692.33
1046,4692.33
1047,4692.33
1048,4692.33
1049,4692.33
1050,4692.33
1051,4692.33
1052,4692.33
1053,4692.33
1054,4692.33
1055,4692.33
1056,4692.33
1057,4692.33
1058,4692.33
1059,4692.33
1060,4692.33
1061,4692.33
1062,4692.33
1063,4692.33
1064,4692.33
1065,4692.33
1066,4692.33
1067,4692.33
1068,4692.33
1069,4692.33
1070,4692.33
1071,4692.33
1072,4692.33
1073,4692.33
1074,4692.33
1075,4692.33
1076,4692.33
1077,4692.33
1078,4692.33
1079,4692.33
1080,4692.33
1081,4692.33
1082,4692.33
1083,4692.33
1084,4692.33
1085,4692.33
1086,4692.33
1087,4692.33
1088,4692.33
1089,4692.33
1090,4692.33
1091,4692.33
1092,4692.33
1093,4692.33
1094,4692.33
1095,4692.33
1096,4692.33
1097,4692.33
1098,4692.33
1099,4692.33
1100,4692.33
1101,4692.33
1102,4692.33
1103,4692.33
1104,4692.33
1105,4692.33
1106,4692.33
1107,4692.33
1108,4692.33
1109,4692.33
1110,4692.33
1111,4692.33
1112,4692.33
1113,4692.33
1114,4692.33
1115,4692.33
1116,4692.33
1117,4692.33
1118,4692.33
1119,4692.33
1120,4692.33
1121,4692.33
1122,4692.33
1123,4692.33
1124,4692.33
1125,4692.33
1126,4692.33
1127,4692.33
1128,4692.33
1129,4692.33
1130,4692.33
1131,4692.33
1132,4692.33
1133,4692.33
1134,4692.33
1135,4692.33
1136,4692.33
1137,4692.33
1138,4692.33
1139,4692.33
1140,4692.33
1141,4692.33
1142,4692.33
1143,4692.33
1144,4692.33
1145,4692.33
1146,4692.33
1147,4692.33
1148,4692.33
1149,4692.33
1150,4692.33
1151,4692.33
1152,4692.33
1153,4692.33
1154,4692.33
1155,4692.33
1156,4692.33
1157,4692.33
1158,4692.33
1159,4692.33
1160,4692.33
1161,4692.33
1162,4692.33
1163,4692.33
1164,4692.33
1165,4692.33
1166,4692.33
1167,4692.33
1168,4692.33
1169,4692.33
1170,4692.33
1171,4692.33
1172,4692.33
1173,4692.33
1174,4692.33
1175,4692.33
1176,4692.33
1177,4692.33
1178,4692.33
1179,4692.33
1180,4692.33
1181,4692.33
1182,4692.33
1183,4692.33
1184,4692.33
1185,4692.33
1186,4692.33
1187,4692.33
1188,4692.33
1189,4692.33
1190,4692.33
1191,4692.33
1192,4692.33
1193,4692.33
1194,4692.33
1195,4692.33
1196,4692.33
1197,4692.33
1198,4692.33
1199,4692.33
1200,4692.33
1201,4692.33
1202,4692.33
1203,4692.33
1204,4692.33
1205,4692.33
1206,4692.33
1207,4692.33
1208,4692.33
1209,4692.33
1210,4692.33
1211,4692.33
1212,4692.33
1213,4692.33
1214,4692.33
1215,4692.33
1216,4692.33
1217,4692.33
1218,4692.33
1219,4692.33
1220,4692.33
1221,4692.33
1222,4692.33
1223,4692.33
1224,4692.33
1225,4692.33
1226,4692.33
1227,4692.33
1228,4692.33
1229,4692.33
1230,4692.33
1231,4692.33
1232,4692.33
1233,4692.33
1234,4692.33
1235,4692.33
1236,4692.33
1237,4692.33
1238,4692.33
1239,4692.33
1240,4692.33
1241,4692.33
1242,4692.33
1243,4692.33
1244,4692.33
1245,4692.33
1246,4692.33
1247,4692.33
1248,4692.33
1249,4692.33
1250,4692.33
1251,4692.33
1252,4692.33
1253,4692.33
1254,4692.33
1255,4692.33
1256,4692.33
1257,4692.33
1258,4692.33
1259,4692.33
1260,4692.33
1261,4692.33
1262,4692.33
1263,4692.33
1264,4692.33
1265,4692.33
1266,4692.33
1267,4692.33
1268,4692.33
1269,4692.33
1270,4692.33
1271,4692.33
1272,4692.33
1273,4692.33
1274,4692.33
1275,4692.33
1276,4692.33
1277,4692.33
1278,4692.33
1279,4692.33
1280,4692.33
1281,4692.33
1282,4692.33
1283,4692.33
1284,4692.33
1285,4692.33
1286,4692.33
1287,4692.33
1288,4692.33
1289,4692.33
1290,4692.33
1291,4692.33
1292,4692.33
1293,4692.33
1294,4692.33
1295,4692.33
1296,4692.33
1297,4692.33
1298,4692.33
1299,4692.33
1300,4692.33
1301,4692.33
1302,4692.33
1303,4692.33
1304,4692.33
1305,4692.33
1306,4692.33
1307,4692.33
1308,4692.33
1309,4692.33
1310,4692.33
1311,4692.33
1312,4692.33
1313,4692.33
1314,4692.33
1315,4692.33
1316,4692.33
1317,4692.33
1318,4692.33
1319,4692.33
1320,4692.33
1321,4692.33
1322,4692.33
1323,4692.33
1324,4692.33
1325,4692.33
1326,4692.33
1327,4692.33
1328,4692.33
1329,4692.33
1330,4692.33
1331,4692.33
1332,4692.33
1333,4692.33
1334,4692.33
1335,4692.33
1336,4692.33
1337,4692.33
1338,4692.33
1339,4692.33
1340,4692.33
1341,4692.33
1342,4692.33
1343,4692.33
1344,4692.33
1345,4692.33
1346,4692.33
1347,4692.33
1348,4692.33
1349,4692.33
1350,4692.33
1351,4692.33
1352,4692.33
1353,4692.33
1354,4692.33
1355,4692.33
1356,4692.33
1357,4692.33
1358,4692.33
1359,4692.33
1360,4692.33
1361,4692.33
1362,4692.33
1363,4692.33
1364,4692.33
1365,4692.33
1366,4692.33
1367,4692.33
1368,4692.33
1369,4692.33
1370,4692.33
1371,4692.33
1372,4692.33
1373,4692.33
1374,4692.33
1375,4692.33
1376,4692.33
1377,4692.33
1378,4692.33
1379,4692.33
1380,4692.33
1381,4692.33
1382,4692.33
1383,4692.33
1384,4692.33
1385,4692.33
1386,4692.33
1387,4692.33
1388,4692.33
1389,4692.33
1390,4692.33
1391,4692.33
1392,4692.33
1393,4692.33
1394,4692.33
1395,4692.33
1396,4692.33
1397,4692.33
1398,4692.33
1399,4692.33
1400,4692.33
1401,4692.33
1402,4692.33
1403,4692.33
1404,4692.33
1405,4692.33
1406,4692.33
1407,4692.33
1408,4692.33
1409,4692.33
1410,4692.33
1411,4692.33
1412,4692.33
1413,4692.33
1414,4692.33
1415,4692.33
1416,4692.33
1417,4692.33
1418,4692.33
1419,4692.33
1420,4692.33
1421,4692.33
1422,4692.33
1423,4692.33
1424,4692.33
1425,4692.33
1426,4692.33
1427,4692.33
1428,4692.33
1429,4692.33
1430,4692.33
1431,4692.33
1432,4692.33
1433,4692.33
1434,4692.33
1435,4692.33
1436,4692.33
1437,4692.33
1438,4692.33
1439,4692.33
1440,4692.33
1441,4692.33
1442,4692.33
1443,4692.33
1444,4692.33
1445,4692.33
1446,4692.33
1447,4692.33
1448,4692.33
1449,4692.33
1450,4692.33
1451,4692.33
1452,4692.33
1453,4692.33
1454,4692.33
1455,4692.33
1456,4692.33
1457,4692.33
1458,4692.33
1459,4692.33
1460,4692.33
1461,4692.33
1462,4692.33
1463,4692.33
1464,4692.33
1465,4692.33
1466,4692.33
1467,4692.33
1468,4692.33
1469,4692.33
1470,4692.33
1471,4692.33
1472,4692.33
1473,4692.33
1474,4692.33
1475,4692.33
1476,4692.33
1477,4692.33
1478,4692.33
1479,4692.33
1480,4692.33
1481,4692.33
1482,4692.33
1483,4692.33
1484,4692.33
1485,4692.33
1486,4692.33
1487,4692.33
1488,4692.33
1489,4692.33
1490,4692.33
1491,4692.33
1492,4692.33
1493,4692.33
1494,4692.33
1495,4692.33
1496,4692.33
1497,4692.33
1498,4692.33
1499,4692.33
1500,4692.33
1501,4692.33
1502,4692.33
1503,4692.33
1504,4692.33
1505,4692.33
1506,4692.33
1507,4692.33
1508,4692.33
1509,4692.33
1510,4692.33
1511,4692.33
1512,4692.33
1513,4692.33
1514,4692.33
1515,4692.33
1516,4692.33
1517,4692.33
1518,4692.33
1519,4692.33
1520,4692.33
1521,4692.33
1522,4692.33
1523,4692.33
1524,4692.33
1525,4692.33
1526,4692.33
1527,4692.33
1528,4692.33
1529,4692.33
1530,4692.33
1531,4692.33
1532,4692.33
1533,4692.33
1534,4692.33
1535,4692.33
1536,4692.33
1537,4692.33
1538,4692.33
1539,4692.33
1540,4692.33
1541,4692.33
1542,4692.33
1543,4692.33
1544,4692.33
1545,4692.33
1546,4692.33
1547,4692.33
1548,4692.33
1549,4692.33
1550,4692.33
1551,4692.33
1552,4692.33
1553,4692.33
1554,4692.33
1555,4692.33
1556,4692.33
1557,4692.33
1558,4692.33
1559,4692.33
1560,4692.33
1561,4692.33
1562,4692.33
1563,4692.33
1564,4692.33
1565,4692.33
1566,4692.33
1567,4692.33
1568,4692.33
1569,4692.33
1570,4692.33
1571,4692.33
1572,4692.33
1573,4692.33
1574,4692.33
1575,4692.33
1576,4692.33
1577,4692.33
1578,4692.33
1579,4692.33
1580,4692.33
1581,4692.33
1582,4692.33
1583,4692.33
1584,4692.33
1585,4692.33
1586,4692.33
1587,4692.33
1588,4692.33
1589,4692.33
1590,4692.33
1591,4692.33
1592,4692.33
1593,4692.33
1594,4692.33
1595,4692.33
1596,4692.33
1597,4692.33
1598,4692.33
1599,4692.33
1600,4692.33
1601,4692.33
1602,4692.33
1603,4692.33
1604,4692.33
1605,4692.33
1606,4692.33
1607,4692.33
1608,4692.33
1609,4692.33
1610,4692.33
1611,4692.33
1612,4692.33
1613,4692.33
1614,4692.33
1615,4692.33
1616,4692.33
1617,4692.33
1618,4692.33
1619,4692.33
1620,4692.33
1621,4692.33
1622,4692.33
1623,4692.33
1624,4692.33
1625,4692.33
1626,4692.33
1627,4692.33
1628,4692.33
1629,4692.33
1630,4692.33
1631,4692.33
1632,4692.33
1633,4692.33
1634,4692.33
1635,4692.33
1636,4692.33
1637,4692.33
1638,4692.33
1639,4692.33
1640,4692.33
1641,4692.33
1642,4692.33
1643,4692.33
1644,4692.33
1645,4692.33
1646,4692.33
1647,4692.33
1648,4692.33
1649,4692.33
1650,4692.33
1651,4692.33
1652,4692.33
1653,4692.33
1654,4692.33
1655,4692.33
1656,4692.33
1657,4692.33
1658,4692.33
1659,4692.33
1660,4692.33
1661,4692.33
1662,4692.33
1663,4692.33
1664,4692.33
1665,4692.33
1666,4692.33
1667,4692.33
1668,4692.33
1669,4692.33
1670,4692.33
1671,4692.33
1672,4692.33
1673,4692.33
1674,4692.33
1675,4692.33
1676,4692.33
1677,4692.33
1678,4692.33
1679,4692.33
1680,4692.33
1681,4692.33
1682,4692.33
1683,4692.33
1684,4692.33
1685,4692.33
1686,4692.33
1687,4692.33
1688,4692.33
1689,4692.33
1690,4692.33
1691,4692.33
1692,4692.33
1693,4692.33
1694,4692.33
1695,4692.33
1696,4692.33
1697,4692.33
1698,4692.33
1699,4692.33
1700,4692.33
1701,4692.33
1702,4692.33
1703,4692.33
1704,4692.33
1705,4692.33
1706,4692.33
1707,4692.33
1708,4692.33
1709,4692.33
1710,4692.33
1711,4692.33
1712,4692.33
1713,4692.33
1714,4692.33
1715,4692.33
1716,4692.33
1717,4692.33
1718,4692.33
1719,4692.33
1720,4692.33
1721,4692.33
1722,4692.33
1723,4692.33
1724,4692.33
1725,4692.33
1726,4692.33
1727,4692.33
1728,4692.33
1729,4692.33
1730,4692.33
1731,4692.33
1732,4692.33
1733,4692.33
1734,4692.33
1735,4692.33
1736,4692.33
1737,4692.33
1738,4692.33
1739,4692.33
1740,4692.33
1741,4692.33
1742,4692.33
1743,4692.33
1744,4692.33
1745,4692.33
1746,4692.33
1747,4692.33
1748,4692.33
1749,4692.33
1750,4692.33
1751,4692.33
1752,4692.33
1753,4692.33
1754,4692.33
1755,4692.33
1756,4692.33
1757,4692.33
1758,4692.33
1759,4692.33
1760,4692.33
1761,4692.33
1762,4692.33
1763,4692.33
1764,4692.33
1765,4692.33
1766,4692.33
1767,4692.33
1768,4692.33
1769,4692.33
1770,4692.33
1771,4692.33
1772,4692.33
1773,4692.33
1774,4692.33
1775,4692.33
1776,4692.33
1777,4692.33
1778,4692.33
1779,4692.33
1780,4692.33
1781,4692.33
1782,4692.33
1783,4692.33
1784,4692.33
1785,4692.33
1786,4692.33
1787,4692.33
1788,4692.33
1789,4692.33
1790,4692.33
1791,4692.33
1792,4692.33
1793,4692.33
1794,4692.33
1795,4692.33
1796,4692.33
1797,4692.33
1798,4692.33
1799,4692.33
1800,4692.33
1801,4692.33
1802,4692.33
1803,4692.33
1804,4692.33
1805,4692.33
1806,4692.33
1807,4692.33
1808,4692.33
1809,4692.33
1810,4692.33
1811,4692.33
1812,4692.33
1813,4692.33
1814,4692.33
1815,4692.33
1816,4692.33
1817,4692.33
1818,4692.33
1819,4692.33
1820,4692.33
1821,4692.33
1822,4692.33
1823,4692.33
1824,4692.33
1825,4692.33
1826,4692.33
1827,4692.33
1828,4692.33
1829,4692.33
1830,4692.33
1831,4692.33
1832,4692.33
1833,4692.33
1834,4692.33
1835,4692.33
1836,4692.33
1837,4692.33
1838,4692.33
1839,4692.33
1840,4692.33
1841,4692.33
1842,4692.33
1843,4692.33
1844,4692.33
1845,4692.33
1846,4692.33
1847,4692.33
1848,4692.33
1849,4692.33
1850,4692.33
1851,4692.33
1852,4692.33
1853,4692.33
1854,4692.33
1855,4692.33
1856,4692.33
1857,4692.33
1858,4692.33
1859,4692.33
1860,4692.33
1861,4692.33
